cycle,order,round,model,tokenizer_sha256,contract,shape,input_bytes,batch,parent_elapsed_ns,candidate_elapsed_ns,total_bytes,ratio,log_ratio
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,16768919,17367200,2097152,0.9655510963194989,-0.03505625638080411
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,15958140,14323720,2097152,1.1141058328423064,0.10805213954407765
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,15121269,14368900,2097152,1.052360932291268,0.0510361470047006
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,14273530,13763570,2097152,1.0370514336033456,0.036381526477741316
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,flat-ragged,64 KiB single,65536,1,13903400,13794960,2097152,1.007860841930676,0.007830106478693612
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,25851120,22818460,2097200,1.1329037980652508,0.12478406940757528
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,22644530,23532560,2097200,0.9622637741070245,-0.03846667244214144
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,22223640,21679340,2097200,1.0251068528838978,0.024796853873058057
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,23264020,20197209,2097200,1.1518433066667775,0.14136353450391959
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,20814770,20183259,2097200,1.0312888518152594,0.030809332444612297
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 1,140,1,20317410,18753400,2097200,1.0833987436944768,0.08010308464571197
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,23869100,24001460,2101120,0.9944853354754253,-0.005529926422343019
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,23119789,23596609,2101120,0.9797928592197294,-0.020414097802046945
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,23474020,21688100,2101120,1.0823456181039373,0.07913055465360329
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,22116729,21263489,2101120,1.0401269989134896,0.039342820037826055
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,21899800,21330920,2101120,1.0266692669608248,0.026319841068216155
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 32,140,32,21747120,24779940,2101120,0.8776098731473926,-0.1305531199164496
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,18636990,13479930,2150400,1.3825732032733107,0.3239464029390003
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,18509589,18957920,2150400,0.9763512558339733,-0.02393286404258075
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,17460680,13440200,2150400,1.299138405678487,0.2617012798790674
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,19209850,13554380,2150400,1.417242987137737,0.3487134259918201
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,14274550,13028760,2150400,1.0956184625397967,0.09131900979802131
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,140-byte batch 512,140,512,14755190,11891300,2150400,1.240839100855247,0.21578784500073914
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,23778250,19972900,2097152,1.190525662272379,0.17439494259013663
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,19781360,18639300,2097152,1.0612716142773602,0.05946782524625273
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,18358769,18326670,2097152,1.0017514911328682,0.0017499590609533358
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,17655240,16715130,2097152,1.0562430564404823,0.0547183258834804
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,17468829,16884930,2097152,1.0345810731818255,0.03399658456901084
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,4 KiB single,4096,1,16550140,16715890,2097152,0.9900842850724669,-0.009965203040566915
0,ab,0,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,18000040,16775379,2097152,1.073003477298486,0.07046170436883312
0,ab,1,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,18112759,18494530,2097152,0.9793576262819331,-0.020858405626460665
0,ab,2,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,16443350,15964040,2097152,1.030024354737272,0.02958244733798919
0,ab,3,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,16590780,15608600,2097152,1.0629255666747819,0.061025074965339765
0,ab,4,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,16263620,15883080,2097152,1.0239588291439696,0.023676319894944453
0,ab,5,deepseek-v3.2,cd050be35cae877f8f0aa847f45aa87e23835a56ca32b29b28545597852784e5,nested,64 KiB single,65536,1,16393349,16102120,2097152,1.0180863762038788,0.0179247634521248
0,ab,0,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,126373828,139650418,2097200,0.9049298226948379,-0.09989788227250558
0,ab,1,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,120395078,145251460,2097200,0.8288734447144284,-0.18768779567619182
0,ab,2,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,117848779,122034437,2097200,0.9657010094617801,-0.03490100669368815
0,ab,3,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,112726379,132035358,2097200,0.8537590286989641,-0.1581062928101988
0,ab,4,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,105150228,111137329,2097200,0.9461288025016329,-0.05537656433418566
0,ab,5,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 1,140,1,111925679,110207839,2097200,1.0155872759650064,0.01546704218089779
0,ab,0,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 32,140,32,109720459,112490730,2101120,0.9753733396520762,-0.024934968812890333
0,ab,1,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 32,140,32,88133200,104825739,2101120,0.8407591574431924,-0.17345003642798304
0,ab,2,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 32,140,32,96726629,97768549,2101120,0.9893429941360795,-0.01071419844830809
0,ab,3,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 32,140,32,103173547,64318989,2101120,1.6040915537400626,0.4725575862069736
0,ab,4,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 32,140,32,82898338,109595909,2101120,0.7563999309499774,-0.2791850334855472
0,ab,5,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 32,140,32,81178220,72859289,2101120,1.1141780425554249,0.10811695149550003
0,ab,0,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 512,140,512,45549699,53318370,2150400,0.8542965398229541,-0.1574769091395042
0,ab,1,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 512,140,512,44690219,40603349,2150400,1.1006535199842753,0.0959041124680102
0,ab,2,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 512,140,512,47693569,45100640,2150400,1.057492066631427,0.055900129906777014
0,ab,3,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 512,140,512,46178399,40107370,2150400,1.1513694116567603,0.14095202668882773
0,ab,4,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 512,140,512,39203660,35965569,2150400,1.090033081361788,0.08620804565370425
0,ab,5,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,140-byte batch 512,140,512,36937090,35278820,2150400,1.0470046900661643,0.04593341140669937
0,ab,0,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,4 KiB single,4096,1,89880340,103326649,2097152,0.8698660110423208,-0.13941608949049417
0,ab,1,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,4 KiB single,4096,1,86816098,86398349,2097152,1.0048351502642718,0.00482349846892573
0,ab,2,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,4 KiB single,4096,1,85681728,92212408,2097152,0.9291778607494992,-0.07345510451103525
0,ab,3,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,4 KiB single,4096,1,95058139,94028349,2097152,1.0109519098330653,0.010892371976294973
0,ab,4,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,4 KiB single,4096,1,82418759,88253909,2097152,0.9338822487738192,-0.06840492067767305
0,ab,5,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,4 KiB single,4096,1,90591488,87532799,2097152,1.0349433473502887,0.034346688359591385
0,ab,0,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,64 KiB single,65536,1,87760219,80043970,2097152,1.0964001285793297,0.09203220272059266
0,ab,1,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,64 KiB single,65536,1,68916489,83716910,2097152,0.8232087041913038,-0.19454552091360094
0,ab,2,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,64 KiB single,65536,1,65637669,77720209,2097152,0.8445379888260465,-0.1689655599377979
0,ab,3,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,64 KiB single,65536,1,83004150,63427569,2097152,1.308644668377563,0.2689919973486675
0,ab,4,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,64 KiB single,65536,1,77372900,80063109,2097152,0.9663988941523617,-0.034178596098224615
0,ab,5,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,flat-ragged,64 KiB single,65536,1,80080568,76879600,2097152,1.0416361167331776,0.04079266615403327
0,ab,0,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,nested,140-byte batch 1,140,1,122947037,113895759,2097200,1.079469842244082,0.07647003380071839
0,ab,1,gemma-3,4667f2089529e8e7657cfb6d1c19910ae71ff5f28aa7ab2ff2763330affad795,nested,140-byte batch 1,140,1,116180020,109006888,2097200,1.0658043921041027,0.06372981181791856
